127.0.0.1 - - [06/Dec/2023:12:58:16 -0300] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [06/Dec/2023:12:58:16 -0300] "GET /arcoiris/index.html HTTP/1.1" 200 3259
0:0:0:0:0:0:0:1 - - [06/Dec/2023:12:58:17 -0300] "GET /arcoiris/js/login.js HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [06/Dec/2023:12:58:17 -0300] "GET /arcoiris/css/login.css HTTP/1.1" 200 1638
0:0:0:0:0:0:0:1 - - [06/Dec/2023:12:58:17 -0300] "GET /arcoiris/imgs/raimbow.png HTTP/1.1" 200 42383
0:0:0:0:0:0:0:1 - - [06/Dec/2023:12:58:17 -0300] "GET /arcoiris/imgs/user.png HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [06/Dec/2023:12:58:17 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:01:35 -0300] "POST /arcoiris/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:01:35 -0300] "GET /arcoiris/pages/admin/book.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:01:35 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:01:35 -0300] "GET /arcoiris/js/book.js HTTP/1.1" 200 8345
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:01:35 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:01:35 -0300] "GET /arcoiris/imgs/filter.png HTTP/1.1" 200 4611
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:01:35 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:01:36 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:01:36 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:01:36 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:01:40 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:01:40 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:11:57 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 1518
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:11:57 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:11:57 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [06/Dec/2023:13:11:57 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
