127.0.0.1 - - [11/Dec/2023:13:09:21 -0300] "GET / HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:04:00 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 4625
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:04:00 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:04:01 -0300] "GET /arcoiris/rest/user/getAllUsers HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:04:01 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:06:19 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 3882
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:06:19 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:06:19 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:06:19 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 4567
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:06:19 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:06:19 -0300] "GET /arcoiris/rest/user/getAllUsers HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:06:19 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:06:19 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 3882
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:06:19 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:06:19 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:06:19 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 4567
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:06:19 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:06:19 -0300] "GET /arcoiris/rest/user/getAllUsers HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [11/Dec/2023:19:06:19 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:33 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:33 -0300] "GET /arcoiris/index.html HTTP/1.1" 200 3259
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:33 -0300] "GET /arcoiris/css/login.css HTTP/1.1" 200 1638
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:33 -0300] "GET /arcoiris/js/login.js HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:33 -0300] "GET /arcoiris/imgs/user.png HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:33 -0300] "GET /arcoiris/imgs/raimbow.png HTTP/1.1" 200 42383
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:33 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/index.html HTTP/1.1" 200 3259
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/js/login.js HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/css/login.css HTTP/1.1" 200 1638
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/imgs/raimbow.png HTTP/1.1" 200 42383
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/imgs/user.png HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/index.html HTTP/1.1" 200 3259
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/js/login.js HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/css/login.css HTTP/1.1" 200 1638
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/imgs/user.png HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/imgs/raimbow.png HTTP/1.1" 200 42383
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/index.html HTTP/1.1" 200 3259
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/css/login.css HTTP/1.1" 200 1638
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/js/login.js HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/imgs/raimbow.png HTTP/1.1" 200 42383
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/imgs/user.png HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/index.html HTTP/1.1" 200 3259
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/css/login.css HTTP/1.1" 200 1638
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/js/login.js HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/imgs/raimbow.png HTTP/1.1" 200 42383
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:34 -0300] "GET /arcoiris/imgs/user.png HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:40 -0300] "POST /arcoiris/autenticar HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:40 -0300] "GET /arcoiris/pages/admin/book.html HTTP/1.1" 200 2560
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:40 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:40 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:40 -0300] "GET /arcoiris/js/book.js HTTP/1.1" 200 8345
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:40 -0300] "GET /arcoiris/imgs/menu.png HTTP/1.1" 200 8076
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:40 -0300] "GET /arcoiris/imgs/filter.png HTTP/1.1" 200 4611
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:40 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:40 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:40 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:40 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:46 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:46 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:46 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:46 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:46 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 4681
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:46 -0300] "GET /arcoiris/rest/user/getAllUsers HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:10:46 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:35:22 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:35:22 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:35:22 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:35:22 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 5246
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:35:22 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:35:22 -0300] "GET /arcoiris/rest/user/getAllUsers HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:35:22 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:35:23 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:35:23 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:35:23 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:35:23 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 5246
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:35:23 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:35:23 -0300] "GET /arcoiris/rest/user/getAllUsers HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:35:23 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:36:17 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:36:17 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:36:17 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:36:17 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 5264
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:36:17 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:36:17 -0300] "GET /arcoiris/rest/user/getAllUsers HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:36:17 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:36:18 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:36:18 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:36:18 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:36:18 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 5264
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:36:18 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:36:18 -0300] "GET /arcoiris/rest/user/getAllUsers HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:36:18 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:14 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:14 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:14 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:14 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:14 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 5276
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:14 -0300] "GET /arcoiris/rest/user/getAllUsers HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:14 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:15 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:15 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:15 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:15 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 5276
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:15 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:15 -0300] "GET /arcoiris/rest/user/getAllUsers HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:15 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:15 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:15 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:15 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:15 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 5276
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:15 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:15 -0300] "GET /arcoiris/rest/user/getAllUsers HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:15 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:15 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:15 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:15 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:15 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 5276
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:15 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:15 -0300] "GET /arcoiris/rest/user/getAllUsers HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:15 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:47 -0300] "GET /arcoiris/pages/admin/loan.html HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:47 -0300] "GET /arcoiris/css/admin.css HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:47 -0300] "GET /arcoiris/css/jquery-ui.css HTTP/1.1" 200 38269
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:47 -0300] "GET /arcoiris/js/loan.js HTTP/1.1" 200 5276
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:47 -0300] "GET /arcoiris/js/jquery-ui.js HTTP/1.1" 200 548220
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:47 -0300] "GET /arcoiris/rest/user/getAllUsers HTTP/1.1" 200 502
0:0:0:0:0:0:0:1 - - [11/Dec/2023:20:38:47 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
